No,Latitude,Longitude,Altitude,Speed,Date,Time ?Wrong?,Actual Time,,
22,38.989481,-76.934516,0.2,11.5,1/21/2021,8:46:28 PM,3:46:28 PM,,
23,38.989572,-76.934457,0,11.34,1/21/2021,8:46:29 PM,3:46:29 PM,,
24,38.989658,-76.934392,-0.2,11.1,1/21/2021,8:46:30 PM,3:46:30 PM,,
25,38.989747,-76.934328,-0.4,11.35,1/21/2021,8:46:31 PM,3:46:31 PM,,
26,38.989847,-76.934271,-0.5,12.18,1/21/2021,8:46:32 PM,3:46:32 PM,,
27,38.989951,-76.934217,-0.6,12.48,1/21/2021,8:46:33 PM,3:46:33 PM,,
28,38.990057,-76.934172,-0.6,12.43,1/21/2021,8:46:34 PM,3:46:34 PM,,
29,38.990166,-76.93413,-0.6,12.67,1/21/2021,8:46:35 PM,3:46:35 PM,,
30,38.990276,-76.934088,-0.5,12.77,1/21/2021,8:46:36 PM,3:46:36 PM,,
31,38.990389,-76.934049,-0.5,13.02,1/21/2021,8:46:37 PM,3:46:37 PM,,
32,38.990505,-76.934009,-0.5,13.37,1/21/2021,8:46:38 PM,3:46:38 PM,,
33,38.990625,-76.933966,-0.5,13.87,1/21/2021,8:46:39 PM,3:46:39 PM,,
34,38.990745,-76.933918,-0.5,13.99,1/21/2021,8:46:40 PM,3:46:40 PM,,
35,38.990866,-76.933868,-0.5,14.15,1/21/2021,8:46:41 PM,3:46:41 PM,,
36,38.990988,-76.933823,-0.5,14.13,1/21/2021,8:46:42 PM,3:46:42 PM,,
37,38.991114,-76.933779,-0.5,14.53,1/21/2021,8:46:43 PM,3:46:43 PM,,
38,38.991241,-76.933735,-0.4,14.64,1/21/2021,8:46:44 PM,3:46:44 PM,,
39,38.991368,-76.933689,-0.4,14.69,1/21/2021,8:46:45 PM,3:46:45 PM,,
40,38.991493,-76.933638,-0.5,14.6,1/21/2021,8:46:46 PM,3:46:46 PM,,
41,38.991618,-76.933587,-0.4,14.6,1/21/2021,8:46:47 PM,3:46:47 PM,,
42,38.991744,-76.933532,-0.4,14.81,1/21/2021,8:46:48 PM,3:46:48 PM,,
43,38.991871,-76.93348,-0.4,14.84,1/21/2021,8:46:49 PM,3:46:49 PM,,
44,38.991995,-76.933424,-0.4,14.63,1/21/2021,8:46:50 PM,3:46:50 PM,,
45,38.992121,-76.933374,-0.5,14.68,1/21/2021,8:46:51 PM,3:46:51 PM,,
46,38.992244,-76.933323,-0.5,14.39,1/21/2021,8:46:52 PM,3:46:52 PM,,
47,38.992362,-76.93327,-0.5,13.91,1/21/2021,8:46:53 PM,3:46:53 PM,,
48,38.992463,-76.933234,-0.5,11.67,1/21/2021,8:46:54 PM,3:46:54 PM,,
49,38.992562,-76.933196,-0.6,5.75,1/21/2021,8:46:56 PM,3:46:56 PM,,
50,38.992699,-76.933123,-1.6,0.38,1/21/2021,8:47:39 PM,3:47:39 PM,,
51,38.992876,-76.933047,-2,10.39,1/21/2021,8:47:41 PM,3:47:41 PM,,
52,38.992974,-76.933,-2.1,11.64,1/21/2021,8:47:42 PM,3:47:42 PM,,
53,38.993079,-76.932942,-2.1,12.72,1/21/2021,8:47:43 PM,3:47:43 PM,,
54,38.993181,-76.932863,-2.1,13.25,1/21/2021,8:47:44 PM,3:47:44 PM,,
55,38.993291,-76.932793,-2.1,13.66,1/21/2021,8:47:45 PM,3:47:45 PM,,
56,38.993404,-76.93273,-2.1,13.71,1/21/2021,8:47:46 PM,3:47:46 PM,,
57,38.993518,-76.93267,-2.1,13.71,1/21/2021,8:47:47 PM,3:47:47 PM,,
58,38.993638,-76.932613,-2.1,14.24,1/21/2021,8:47:48 PM,3:47:48 PM,,
59,38.993762,-76.932555,-2.1,14.69,1/21/2021,8:47:49 PM,3:47:49 PM,,
60,38.993889,-76.932496,-2.1,15.03,1/21/2021,8:47:50 PM,3:47:50 PM,,
61,38.994019,-76.93244,-2,15.26,1/21/2021,8:47:51 PM,3:47:51 PM,,
62,38.994146,-76.932381,-2,15.03,1/21/2021,8:47:52 PM,3:47:52 PM,,
63,38.994268,-76.932328,-1.9,14.33,1/21/2021,8:47:53 PM,3:47:53 PM,,
64,38.994384,-76.932281,-1.8,13.54,1/21/2021,8:47:54 PM,3:47:54 PM,,
65,38.994494,-76.932239,-1.7,12.77,1/21/2021,8:47:55 PM,3:47:55 PM,,
66,38.9946,-76.932194,-1.5,12.43,1/21/2021,8:47:56 PM,3:47:56 PM,,
67,38.994701,-76.93215,-1.4,11.87,1/21/2021,8:47:57 PM,3:47:57 PM,,
68,38.994796,-76.932108,-1.3,11.18,1/21/2021,8:47:58 PM,3:47:58 PM,,
69,38.994952,-76.932034,-1.1,9.25,1/21/2021,8:48:00 PM,3:48:00 PM,,
70,38.995072,-76.931984,-0.9,7.02,1/21/2021,8:48:02 PM,3:48:02 PM,,
71,38.995164,-76.931952,-0.8,5.3,1/21/2021,8:48:04 PM,3:48:04 PM,,
72,38.995253,-76.931917,-1.1,0.69,1/21/2021,8:48:19 PM,3:48:19 PM,,
73,38.995365,-76.931883,-1.4,4.27,1/21/2021,8:48:22 PM,3:48:22 PM,,
74,38.995461,-76.931859,-1.8,5.44,1/21/2021,8:48:24 PM,3:48:24 PM,,
75,38.995578,-76.931832,-2,6.62,1/21/2021,8:48:26 PM,3:48:26 PM,,
76,38.995738,-76.931792,-1.9,9.07,1/21/2021,8:48:28 PM,3:48:28 PM,,
77,38.995914,-76.93176,-1.7,9.89,1/21/2021,8:48:30 PM,3:48:30 PM,,
78,38.996093,-76.93173,-1.3,10.05,1/21/2021,8:48:32 PM,3:48:32 PM,,
79,38.996188,-76.931713,-1.1,10.68,1/21/2021,8:48:33 PM,3:48:33 PM,,
80,38.996285,-76.931697,-0.9,10.89,1/21/2021,8:48:34 PM,3:48:34 PM,,
81,38.996385,-76.931682,-0.7,11.21,1/21/2021,8:48:35 PM,3:48:35 PM,,
82,38.996487,-76.931669,-0.4,11.41,1/21/2021,8:48:36 PM,3:48:36 PM,,
83,38.996587,-76.931659,-0.2,11.17,1/21/2021,8:48:37 PM,3:48:37 PM,,
84,38.996685,-76.931649,-0.1,10.94,1/21/2021,8:48:38 PM,3:48:38 PM,,
85,38.996778,-76.931639,0.1,10.39,1/21/2021,8:48:39 PM,3:48:39 PM,,
86,38.996869,-76.931629,0.2,10.17,1/21/2021,8:48:40 PM,3:48:40 PM,,
87,38.996959,-76.931617,0.4,10.07,1/21/2021,8:48:41 PM,3:48:41 PM,,
88,38.997126,-76.931598,0.8,9.33,1/21/2021,8:48:43 PM,3:48:43 PM,,
89,38.997274,-76.931585,1.1,8.26,1/21/2021,8:48:45 PM,3:48:45 PM,,
90,38.997397,-76.931571,1.4,6.87,1/21/2021,8:48:47 PM,3:48:47 PM,,
91,38.997519,-76.931559,1.8,6.81,1/21/2021,8:48:49 PM,3:48:49 PM,,
92,38.997645,-76.931548,2.1,7.03,1/21/2021,8:48:51 PM,3:48:51 PM,,
93,38.997763,-76.931541,2.4,6.57,1/21/2021,8:48:53 PM,3:48:53 PM,,
94,38.997867,-76.931528,2.9,5.82,1/21/2021,8:48:55 PM,3:48:55 PM,,
95,38.997965,-76.931512,2.9,3.67,1/21/2021,8:48:58 PM,3:48:58 PM,,
96,38.998078,-76.931495,2.5,0.9,1/21/2021,8:49:12 PM,3:49:12 PM,,
97,38.99817,-76.931475,2.3,5.19,1/21/2021,8:49:14 PM,3:49:14 PM,,
98,38.998294,-76.931451,2.3,6.98,1/21/2021,8:49:16 PM,3:49:16 PM,,
99,38.998448,-76.931425,2.5,8.65,1/21/2021,8:49:18 PM,3:49:18 PM,,
100,38.998606,-76.931398,2.7,8.87,1/21/2021,8:49:20 PM,3:49:20 PM,,
101,38.998774,-76.931362,3,9.48,1/21/2021,8:49:22 PM,3:49:22 PM,,
102,38.998867,-76.93134,3.2,10.53,1/21/2021,8:49:23 PM,3:49:23 PM,,
103,38.998966,-76.931324,3.4,11.11,1/21/2021,8:49:24 PM,3:49:24 PM,,
104,38.999071,-76.931309,3.7,11.76,1/21/2021,8:49:25 PM,3:49:25 PM,,
105,38.999177,-76.931294,3.9,11.87,1/21/2021,8:49:26 PM,3:49:26 PM,,
106,38.999284,-76.931281,4.2,11.96,1/21/2021,8:49:27 PM,3:49:27 PM,,
107,38.999392,-76.931268,4.4,12.07,1/21/2021,8:49:28 PM,3:49:28 PM,,
108,38.999505,-76.931257,4.8,12.62,1/21/2021,8:49:29 PM,3:49:29 PM,,
109,38.999623,-76.931242,5.1,13.2,1/21/2021,8:49:30 PM,3:49:30 PM,,
110,38.999744,-76.931224,5.4,13.56,1/21/2021,8:49:31 PM,3:49:31 PM,,
111,38.999867,-76.931206,5.7,13.78,1/21/2021,8:49:32 PM,3:49:32 PM,,
112,38.999991,-76.931188,6.1,13.89,1/21/2021,8:49:33 PM,3:49:33 PM,,
113,39.000116,-76.931169,6.4,14.01,1/21/2021,8:49:34 PM,3:49:34 PM,,
114,39.000242,-76.931148,6.7,14.14,1/21/2021,8:49:35 PM,3:49:35 PM,,
115,39.000371,-76.931131,7,14.44,1/21/2021,8:49:36 PM,3:49:36 PM,,
116,39.0005,-76.93111,7.3,14.47,1/21/2021,8:49:37 PM,3:49:37 PM,,
117,39.00063,-76.931092,7.5,14.56,1/21/2021,8:49:38 PM,3:49:38 PM,,
118,39.000761,-76.931073,7.8,14.68,1/21/2021,8:49:39 PM,3:49:39 PM,,
119,39.000894,-76.931052,8,14.92,1/21/2021,8:49:40 PM,3:49:40 PM,,
120,39.001028,-76.931032,8.2,15.02,1/21/2021,8:49:41 PM,3:49:41 PM,,
121,39.001162,-76.931013,8.5,15.01,1/21/2021,8:49:42 PM,3:49:42 PM,,
122,39.001294,-76.930991,8.7,14.82,1/21/2021,8:49:43 PM,3:49:43 PM,,
123,39.001424,-76.930971,8.9,14.57,1/21/2021,8:49:44 PM,3:49:44 PM,,
124,39.001552,-76.930951,9.1,14.35,1/21/2021,8:49:45 PM,3:49:45 PM,,
125,39.001679,-76.930931,9.2,14.24,1/21/2021,8:49:46 PM,3:49:46 PM,,
126,39.001805,-76.930909,9.4,14.15,1/21/2021,8:49:47 PM,3:49:47 PM,,
127,39.00192,-76.930885,9.5,12.97,1/21/2021,8:49:48 PM,3:49:48 PM,,
128,39.002027,-76.930864,9.7,12.05,1/21/2021,8:49:49 PM,3:49:49 PM,,
129,39.002137,-76.930833,9.8,12.54,1/21/2021,8:49:50 PM,3:49:50 PM,,
130,39.002253,-76.930804,9.9,13.15,1/21/2021,8:49:51 PM,3:49:51 PM,,
131,39.002375,-76.930775,10,13.81,1/21/2021,8:49:52 PM,3:49:52 PM,,
132,39.002502,-76.930749,10,14.32,1/21/2021,8:49:53 PM,3:49:53 PM,,
133,39.002633,-76.930727,10.1,14.71,1/21/2021,8:49:54 PM,3:49:54 PM,,
134,39.002765,-76.930698,10.2,14.91,1/21/2021,8:49:55 PM,3:49:55 PM,,
135,39.002901,-76.930663,10.3,15.44,1/21/2021,8:49:56 PM,3:49:56 PM,,
136,39.003039,-76.93063,10.3,15.63,1/21/2021,8:49:57 PM,3:49:57 PM,,
137,39.003179,-76.930598,10.4,15.83,1/21/2021,8:49:58 PM,3:49:58 PM,,
138,39.003322,-76.930568,10.6,16.13,1/21/2021,8:49:59 PM,3:49:59 PM,,
139,39.003466,-76.930537,10.8,16.25,1/21/2021,8:50:00 PM,3:50:00 PM,,
140,39.00361,-76.930503,11.1,16.3,1/21/2021,8:50:01 PM,3:50:01 PM,,
141,39.003754,-76.93047,11.2,16.28,1/21/2021,8:50:02 PM,3:50:02 PM,,
142,39.003898,-76.930438,11.5,16.27,1/21/2021,8:50:03 PM,3:50:03 PM,,
143,39.00404,-76.930402,11.7,16.11,1/21/2021,8:50:04 PM,3:50:04 PM,,
144,39.004182,-76.930368,12,16.08,1/21/2021,8:50:05 PM,3:50:05 PM,,
145,39.004325,-76.930333,12.2,16.2,1/21/2021,8:50:06 PM,3:50:06 PM,,
146,39.004467,-76.930301,12.4,16.05,1/21/2021,8:50:07 PM,3:50:07 PM,,
147,39.004609,-76.930268,12.7,16.06,1/21/2021,8:50:08 PM,3:50:08 PM,,
148,39.004751,-76.930235,12.9,16.06,1/21/2021,8:50:09 PM,3:50:09 PM,,
149,39.004892,-76.930202,13.1,15.95,1/21/2021,8:50:10 PM,3:50:10 PM,,
150,39.005034,-76.930163,13.3,16.16,1/21/2021,8:50:11 PM,3:50:11 PM,,
151,39.005179,-76.930126,13.5,16.46,1/21/2021,8:50:12 PM,3:50:12 PM,,
152,39.005327,-76.930089,13.8,16.78,1/21/2021,8:50:13 PM,3:50:13 PM,,
153,39.012165,-76.904616,4.5,5.7,1/21/2021,8:57:02 PM,3:57:02 PM,,
154,39.012007,-76.904439,15.7,23.32,1/21/2021,8:57:03 PM,3:57:03 PM,,
155,39.011846,-76.904193,8,27.82,1/21/2021,8:57:04 PM,3:57:04 PM,,
156,39.011614,-76.903894,11.8,18.27,1/21/2021,8:57:06 PM,3:57:06 PM,,
157,39.01149,-76.903718,1.8,20.55,1/21/2021,8:57:07 PM,3:57:07 PM,,
158,39.011351,-76.903526,5,22.7,1/21/2021,8:57:08 PM,3:57:08 PM,,
159,39.011234,-76.903379,11.4,18.2,1/21/2021,8:57:09 PM,3:57:09 PM,,
160,39.011176,-76.903213,-3.4,15.74,1/21/2021,8:57:10 PM,3:57:10 PM,,
161,39.011005,-76.903029,-3.6,24.81,1/21/2021,8:57:11 PM,3:57:11 PM,,
162,39.01088,-76.902881,-5,18.91,1/21/2021,8:57:12 PM,3:57:12 PM,,
163,39.010761,-76.902737,-5.6,18.18,1/21/2021,8:57:13 PM,3:57:13 PM,,
164,39.010639,-76.902591,-5.3,18.55,1/21/2021,8:57:14 PM,3:57:14 PM,,
165,39.010511,-76.902441,-5.5,19.27,1/21/2021,8:57:15 PM,3:57:15 PM,,
166,39.010382,-76.902289,-6.2,19.47,1/21/2021,8:57:16 PM,3:57:16 PM,,
167,39.010248,-76.902133,-6.8,20.11,1/21/2021,8:57:17 PM,3:57:17 PM,,
168,39.010115,-76.901979,-8,19.92,1/21/2021,8:57:18 PM,3:57:18 PM,,
169,39.009977,-76.901825,-8.2,20.33,1/21/2021,8:57:19 PM,3:57:19 PM,,
170,39.009839,-76.901668,-8.1,20.5,1/21/2021,8:57:20 PM,3:57:20 PM,,
171,39.009699,-76.901516,-7.8,20.39,1/21/2021,8:57:21 PM,3:57:21 PM,,
172,39.00956,-76.901365,-7.8,20.25,1/21/2021,8:57:22 PM,3:57:22 PM,,
173,39.009424,-76.901219,-7.8,19.72,1/21/2021,8:57:23 PM,3:57:23 PM,,
174,39.009286,-76.901077,-7.4,19.67,1/21/2021,8:57:24 PM,3:57:24 PM,,
175,39.009149,-76.900937,-7.4,19.47,1/21/2021,8:57:25 PM,3:57:25 PM,,
176,39.009013,-76.900802,-6.8,19.12,1/21/2021,8:57:26 PM,3:57:26 PM,,
177,39.008879,-76.900674,-6.5,18.58,1/21/2021,8:57:27 PM,3:57:27 PM,,
178,39.008749,-76.90055,-6,18.01,1/21/2021,8:57:28 PM,3:57:28 PM,,
179,39.008624,-76.900436,-5.4,17.05,1/21/2021,8:57:29 PM,3:57:29 PM,,
180,39.008499,-76.900322,-4.9,17.05,1/21/2021,8:57:30 PM,3:57:30 PM,,
181,39.008374,-76.900207,-4.4,17.1,1/21/2021,8:57:31 PM,3:57:31 PM,,
182,39.008246,-76.900092,-4,17.38,1/21/2021,8:57:32 PM,3:57:32 PM,,
183,39.008114,-76.899975,-3.6,17.84,1/21/2021,8:57:33 PM,3:57:33 PM,,
184,39.007977,-76.899854,-3.3,18.5,1/21/2021,8:57:34 PM,3:57:34 PM,,
185,39.007842,-76.899735,-3.1,18.22,1/21/2021,8:57:35 PM,3:57:35 PM,,
186,39.007707,-76.89962,-3,18.02,1/21/2021,8:57:36 PM,3:57:36 PM,,
187,39.007569,-76.899506,-3,18.25,1/21/2021,8:57:37 PM,3:57:37 PM,,
188,39.007435,-76.899392,-3,17.88,1/21/2021,8:57:38 PM,3:57:38 PM,,
189,39.007062,-76.899071,-2.8,16.65,1/21/2021,8:57:41 PM,3:57:41 PM,,
190,39.006943,-76.898968,-2.7,15.96,1/21/2021,8:57:42 PM,3:57:42 PM,,
191,39.006825,-76.898863,-2.5,15.97,1/21/2021,8:57:43 PM,3:57:43 PM,,
192,39.006706,-76.898759,-2.3,16.01,1/21/2021,8:57:44 PM,3:57:44 PM,,
193,39.006456,-76.898538,-1.9,16.88,1/21/2021,8:57:46 PM,3:57:46 PM,,
194,39.006324,-76.898422,-1.8,17.79,1/21/2021,8:57:47 PM,3:57:47 PM,,
195,39.00619,-76.898301,-1.5,18.22,1/21/2021,8:57:48 PM,3:57:48 PM,,
196,39.006051,-76.898172,-1.3,19.08,1/21/2021,8:57:49 PM,3:57:49 PM,,
197,39.005904,-76.898048,-1,19.57,1/21/2021,8:57:50 PM,3:57:50 PM,,
198,39.005758,-76.89792,-0.8,19.67,1/21/2021,8:57:51 PM,3:57:51 PM,,
199,39.005607,-76.897793,-0.7,20.08,1/21/2021,8:57:52 PM,3:57:52 PM,,
200,39.005453,-76.897662,-0.6,20.55,1/21/2021,8:57:53 PM,3:57:53 PM,,
201,39.005297,-76.897528,-0.5,20.88,1/21/2021,8:57:54 PM,3:57:54 PM,,
202,39.005139,-76.89739,-0.5,21.26,1/21/2021,8:57:55 PM,3:57:55 PM,,
203,39.004978,-76.897252,-0.3,21.53,1/21/2021,8:57:56 PM,3:57:56 PM,,
204,39.004815,-76.897109,-0.3,21.96,1/21/2021,8:57:57 PM,3:57:57 PM,,
205,39.004652,-76.896962,-0.2,22.16,1/21/2021,8:57:58 PM,3:57:58 PM,,
206,39.004491,-76.896814,-0.2,22.03,1/21/2021,8:57:59 PM,3:57:59 PM,,
207,39.00433,-76.896669,-0.2,21.88,1/21/2021,8:58:00 PM,3:58:00 PM,,
208,39.004167,-76.896534,-0.2,21.58,1/21/2021,8:58:01 PM,3:58:01 PM,,
209,39.004009,-76.896404,-0.1,20.88,1/21/2021,8:58:02 PM,3:58:02 PM,,
210,39.003863,-76.896278,-0.1,19.57,1/21/2021,8:58:03 PM,3:58:03 PM,,
211,39.003726,-76.896166,-0.1,18.07,1/21/2021,8:58:04 PM,3:58:04 PM,,
212,39.003597,-76.896059,0,17.08,1/21/2021,8:58:05 PM,3:58:05 PM,,
213,39.003473,-76.895954,0.1,16.52,1/21/2021,8:58:06 PM,3:58:06 PM,,
214,39.003352,-76.895849,0.1,16.25,1/21/2021,8:58:07 PM,3:58:07 PM,,
215,39.003232,-76.895744,0.3,16.15,1/21/2021,8:58:08 PM,3:58:08 PM,,
216,39.003108,-76.895642,0.4,16.38,1/21/2021,8:58:09 PM,3:58:09 PM,,
217,39.002981,-76.895531,0.5,17.09,1/21/2021,8:58:10 PM,3:58:10 PM,,
218,39.002849,-76.895421,0.7,17.51,1/21/2021,8:58:11 PM,3:58:11 PM,,
219,39.00272,-76.895299,0.9,17.82,1/21/2021,8:58:12 PM,3:58:12 PM,,
220,39.002585,-76.895185,1.1,17.98,1/21/2021,8:58:13 PM,3:58:13 PM,,
221,39.002447,-76.895071,1.4,18.26,1/21/2021,8:58:14 PM,3:58:14 PM,,
222,39.002308,-76.894958,1.5,18.3,1/21/2021,8:58:15 PM,3:58:15 PM,,
223,39.002169,-76.894839,1.7,18.59,1/21/2021,8:58:16 PM,3:58:16 PM,,
224,39.002029,-76.894723,2,18.54,1/21/2021,8:58:17 PM,3:58:17 PM,,
225,39.001891,-76.894602,2.2,18.59,1/21/2021,8:58:18 PM,3:58:18 PM,,
226,39.001754,-76.894483,2.5,18.4,1/21/2021,8:58:19 PM,3:58:19 PM,,
227,39.001618,-76.894364,2.8,18.31,1/21/2021,8:58:20 PM,3:58:20 PM,,
228,39.001482,-76.894242,3.1,18.46,1/21/2021,8:58:21 PM,3:58:21 PM,,
229,39.001344,-76.894121,3.5,18.59,1/21/2021,8:58:22 PM,3:58:22 PM,,
230,39.001205,-76.894,3.9,18.68,1/21/2021,8:58:23 PM,3:58:23 PM,,
231,39.001066,-76.893877,4.2,18.78,1/21/2021,8:58:24 PM,3:58:24 PM,,
232,39.000928,-76.893752,4.5,18.79,1/21/2021,8:58:25 PM,3:58:25 PM,,
233,39.00079,-76.89363,4.8,18.64,1/21/2021,8:58:26 PM,3:58:26 PM,,
234,39.000649,-76.893509,5.1,18.87,1/21/2021,8:58:27 PM,3:58:27 PM,,
235,39.000507,-76.893384,5.4,19.15,1/21/2021,8:58:28 PM,3:58:28 PM,,
236,39.000362,-76.893258,5.8,19.48,1/21/2021,8:58:29 PM,3:58:29 PM,,
237,39.000216,-76.89313,6.1,19.67,1/21/2021,8:58:30 PM,3:58:30 PM,,
238,39.00007,-76.893006,6.4,19.47,1/21/2021,8:58:31 PM,3:58:31 PM,,
239,38.999923,-76.892884,6.8,19.47,1/21/2021,8:58:32 PM,3:58:32 PM,,
240,38.999775,-76.892761,7.1,19.61,1/21/2021,8:58:33 PM,3:58:33 PM,,
241,38.999628,-76.892637,7.4,19.57,1/21/2021,8:58:34 PM,3:58:34 PM,,
242,38.999478,-76.892515,7.8,19.75,1/21/2021,8:58:35 PM,3:58:35 PM,,
243,38.999329,-76.892396,8.1,19.52,1/21/2021,8:58:36 PM,3:58:36 PM,,
244,38.99918,-76.892276,8.4,19.57,1/21/2021,8:58:37 PM,3:58:37 PM,,
245,38.999028,-76.892161,8.7,19.63,1/21/2021,8:58:38 PM,3:58:38 PM,,
246,38.998872,-76.892043,9,20.14,1/21/2021,8:58:39 PM,3:58:39 PM,,
247,38.998715,-76.891918,9.4,20.55,1/21/2021,8:58:40 PM,3:58:40 PM,,
248,38.998555,-76.891796,9.8,20.7,1/21/2021,8:58:41 PM,3:58:41 PM,,
249,38.998396,-76.891679,10.1,20.39,1/21/2021,8:58:42 PM,3:58:42 PM,,
250,38.998243,-76.891566,10.5,19.64,1/21/2021,8:58:43 PM,3:58:43 PM,,
251,38.998096,-76.891462,10.8,18.67,1/21/2021,8:58:44 PM,3:58:44 PM,,
252,38.997963,-76.891365,11.1,17.02,1/21/2021,8:58:45 PM,3:58:45 PM,,
253,38.997847,-76.891278,11.3,14.95,1/21/2021,8:58:46 PM,3:58:46 PM,,
254,38.997738,-76.891199,11.6,13.93,1/21/2021,8:58:47 PM,3:58:47 PM,,
255,38.99763,-76.891118,11.8,13.92,1/21/2021,8:58:48 PM,3:58:48 PM,,
256,38.997517,-76.89104,12.1,14.27,1/21/2021,8:58:49 PM,3:58:49 PM,,
257,38.997402,-76.890961,12.4,14.51,1/21/2021,8:58:50 PM,3:58:50 PM,,
258,38.997288,-76.890875,12.7,14.71,1/21/2021,8:58:51 PM,3:58:51 PM,,
259,38.997171,-76.890794,13,14.79,1/21/2021,8:58:52 PM,3:58:52 PM,,
260,38.997056,-76.89071,13.3,14.72,1/21/2021,8:58:53 PM,3:58:53 PM,,
261,38.996942,-76.890629,13.7,14.5,1/21/2021,8:58:54 PM,3:58:54 PM,,
262,38.996826,-76.890545,14,14.82,1/21/2021,8:58:55 PM,3:58:55 PM,,
263,38.996708,-76.890465,14.3,14.85,1/21/2021,8:58:56 PM,3:58:56 PM,,
264,38.996589,-76.89038,14.5,15.15,1/21/2021,8:58:57 PM,3:58:57 PM,,
265,38.99647,-76.89029,14.8,15.37,1/21/2021,8:58:58 PM,3:58:58 PM,,
266,38.996347,-76.890198,15,15.84,1/21/2021,8:58:59 PM,3:58:59 PM,,
267,38.996221,-76.890106,15.2,16.13,1/21/2021,8:59:00 PM,3:59:00 PM,,
268,38.996094,-76.890011,15.5,16.35,1/21/2021,8:59:01 PM,3:59:01 PM,,
269,38.995966,-76.889912,15.7,16.63,1/21/2021,8:59:02 PM,3:59:02 PM,,
270,38.995834,-76.889809,15.9,17.19,1/21/2021,8:59:03 PM,3:59:03 PM,,
271,38.995699,-76.889701,16,17.7,1/21/2021,8:59:04 PM,3:59:04 PM,,
272,38.995562,-76.889595,16.2,17.8,1/21/2021,8:59:05 PM,3:59:05 PM,,
273,38.995421,-76.889481,16.4,18.54,1/21/2021,8:59:06 PM,3:59:06 PM,,
274,38.995275,-76.889366,16.6,19.06,1/21/2021,8:59:07 PM,3:59:07 PM,,
275,38.99513,-76.889251,16.8,18.96,1/21/2021,8:59:08 PM,3:59:08 PM,,
276,38.994981,-76.889132,17.1,19.52,1/21/2021,8:59:09 PM,3:59:09 PM,,
277,38.994826,-76.889006,17.4,20.41,1/21/2021,8:59:10 PM,3:59:10 PM,,
278,38.994672,-76.888876,17.6,20.5,1/21/2021,8:59:11 PM,3:59:11 PM,,
279,38.994516,-76.888741,17.8,20.93,1/21/2021,8:59:12 PM,3:59:12 PM,,
280,38.99436,-76.888608,18,20.83,1/21/2021,8:59:13 PM,3:59:13 PM,,
281,38.994205,-76.888473,18.1,20.84,1/21/2021,8:59:14 PM,3:59:14 PM,,
282,38.994049,-76.88834,18.3,20.83,1/21/2021,8:59:15 PM,3:59:15 PM,,
283,38.99389,-76.888203,18.4,21.3,1/21/2021,8:59:16 PM,3:59:16 PM,,
284,38.993728,-76.888062,18.5,21.77,1/21/2021,8:59:17 PM,3:59:17 PM,,
285,38.993564,-76.887918,18.5,22.1,1/21/2021,8:59:18 PM,3:59:18 PM,,
286,38.993399,-76.887777,18.6,22.05,1/21/2021,8:59:19 PM,3:59:19 PM,,
287,38.99323,-76.887632,18.6,22.61,1/21/2021,8:59:20 PM,3:59:20 PM,,
288,38.993059,-76.887481,18.7,23.09,1/21/2021,8:59:21 PM,3:59:21 PM,,
